ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,,,,,,,,,,,,
PAK,474161,Antenatal care provider: Doctor,23.6,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1990-91,DHS,3378,3294,,
PAK,536963,Antenatal care provider: Doctor,23.4,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWDOC,,1990-91,DHS,4061,4029,,
PAK,474165,Antenatal care provider: Nurse/midwife,2.2,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1990-91,DHS,3378,3294,,
PAK,536966,Antenatal care provider: Nurse/midwife,2.3,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWNRS,,1990-91,DHS,4061,4029,,
PAK,474168,Antenatal care provider: Other health worker,2,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOHW,,1990-91,DHS,3378,3294,,
PAK,537092,Antenatal care provider: Other health worker,2,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWOHW,,1990-91,DHS,4061,4029,,
PAK,474169,Antenatal care provider: Traditional birth attendant,2.4,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1990-91,DHS,3378,3294,,
PAK,537093,Antenatal care provider: Traditional birth attendant,2.6,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWTBA,,1990-91,DHS,4061,4029,,
PAK,474162,Antenatal care provider: Other,0,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1990-91,DHS,3378,3294,,
PAK,536964,Antenatal care provider: Other,0,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWOTH,,1990-91,DHS,4061,4029,,
PAK,474166,Antenatal care provider: Missing ,0.6,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1990-91,DHS,3378,3294,,
PAK,536967,Antenatal care provider: Missing ,0.6,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWMIS,,1990-91,DHS,4061,4029,,
PAK,474163,No antenatal care,69.2,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1990-91,DHS,3378,3294,,
PAK,536965,No antenatal care,69.1,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWNON,,1990-91,DHS,4061,4029,,
PAK,474167,Antenatal care: Total,100,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1990-91,DHS,3378,3294,,
PAK,537090,Antenatal care: Total,100,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWTOT,,1990-91,DHS,4061,4029,,
PAK,474164,Antenatal care from a skilled provider,25.8,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1990-91,DHS,3378,3294,,
PAK,537091,Antenatal care from a skilled provider,25.7,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHANCPWSKP,,1990-91,DHS,4061,4029,,
