ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,,,,,,,,,,,,
PAK,102834,Total fertility rate 15-49,4.9,1,PK,Pakistan,1991,PK1991DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1990-91,DHS,,,,
PAK,135052,Married women currently using any method of contraception,11.8,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1990-91,DHS,6364,6393,,
PAK,135053,Married women currently using any modern method of contraception,9,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1990-91,DHS,6364,6393,,
PAK,430668,Unmet need for family planning,30.5,1,PK,Pakistan,1991,PK1991DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1990-91,DHS,6364,6393,,
PAK,135098,Demand for family planning satisfied by modern methods,21.3,1,PK,Pakistan,1991,PK1991DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1990-91,DHS,2693,2860,,
PAK,27456,Median age at first marriage [Women]: 25-49,18.6,1,PK,Pakistan,1991,PK1991DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1990-91,DHS,,,,
PAK,356809,Infant mortality rate,86,0,PK,Pakistan,1991,PK1991DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1990-91,DHS,,,74,98
PAK,514025,Infant mortality rate,94,0,PK,Pakistan,1991,PK1991DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1990-91,DHS,,,84,104
PAK,356802,Under-five mortality rate,112,0,PK,Pakistan,1991,PK1991DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1990-91,DHS,,,99,125
PAK,409495,Under-five mortality rate,120,0,PK,Pakistan,1991,PK1991DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1990-91,DHS,,,109,132
PAK,372968,Place of delivery: Health facility,14,1,PK,Pakistan,1991,PK1991DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,1990-91,DHS,4078,3978,,
PAK,536987,Place of delivery: Health facility,13.3,1,PK,Pakistan,1991,PK1991DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHDELPCDHF,,1990-91,DHS,6492,6428,,
PAK,263416,Received all 8 basic vaccinations,35.1,1,PK,Pakistan,1991,PK1991DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,1990-91,DHS,1215,1187,,
