ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,#meta+characteristic,,,,,,,,,,,,
PAK,Punjab including Islamabad (ICT),3603641,Total fertility rate 15-49,5,1,PK,Pakistan,1991,PK1991DHS,FE_FRTR_W_TFR,11763080,I,440001,1440001,Region,Punjab including Islamabad (ICT),0,,0,1,FEFRTRWTFR,PKDHS1991440001,1990-91,DHS,,,,
PAK,Sindh,3600228,Total fertility rate 15-49,4.5,1,PK,Pakistan,1991,PK1991DHS,FE_FRTR_W_TFR,11763080,I,440003,1440003,Region,Sindh,0,,0,1,FEFRTRWTFR,PKDHS1991440003,1990-91,DHS,,,,
PAK,Khyber Pakhtunkhwa,3603653,Total fertility rate 15-49,5.1,1,PK,Pakistan,1991,PK1991DHS,FE_FRTR_W_TFR,11763080,I,440004,1440004,Region,Khyber Pakhtunkhwa,0,,0,1,FEFRTRWTFR,PKDHS1991440004,1990-91,DHS,,,,
PAK,Balochistan,3597215,Total fertility rate 15-49,4.6,1,PK,Pakistan,1991,PK1991DHS,FE_FRTR_W_TFR,11763080,I,440005,1440005,Region,Balochistan,0,,0,1,FEFRTRWTFR,PKDHS1991440005,1990-91,DHS,,,,
PAK,Punjab including Islamabad (ICT),3775696,Married women currently using any method of contraception,13,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_ANY,32633010,I,440001,1440001,Region,Punjab including Islamabad (ICT),0,,0,1,FPCUSMWANY,PKDHS1991440001,1990-91,DHS,3768,2110,,
PAK,Sindh,575961,Married women currently using any method of contraception,12.4,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_ANY,32633010,I,440003,1440003,Region,Sindh,0,,0,1,FPCUSMWANY,PKDHS1991440003,1990-91,DHS,1486,1741,,
PAK,Khyber Pakhtunkhwa,1614719,Married women currently using any method of contraception,8.6,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_ANY,32633010,I,440004,1440004,Region,Khyber Pakhtunkhwa,0,,0,1,FPCUSMWANY,PKDHS1991440004,1990-91,DHS,856,1620,,
PAK,Balochistan,2607702,Married women currently using any method of contraception,2,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_ANY,32633010,I,440005,1440005,Region,Balochistan,0,,0,1,FPCUSMWANY,PKDHS1991440005,1990-91,DHS,254,922,,
PAK,Punjab including Islamabad (ICT),3775697,Married women currently using any modern method of contraception,9.8,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_MOD,32633020,I,440001,1440001,Region,Punjab including Islamabad (ICT),0,,0,1,FPCUSMWMOD,PKDHS1991440001,1990-91,DHS,3768,2110,,
PAK,Sindh,575962,Married women currently using any modern method of contraception,9.1,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_MOD,32633020,I,440003,1440003,Region,Sindh,0,,0,1,FPCUSMWMOD,PKDHS1991440003,1990-91,DHS,1486,1741,,
PAK,Khyber Pakhtunkhwa,1614720,Married women currently using any modern method of contraception,7.6,1,PK,Pakistan,1991,PK1991DHS,FP_CUSM_W_MOD,32633020,I,440004,1440004,Region,Khyber Pakhtunkhwa,0,,0,1,FPCUSMWMOD,PKDHS1991440004,1990-91,DHS,856,1620,,
